Title	Description	Category
Hi Everyone please help me to complete my project report.	"I need you to write an academic [login to view URL] prepare a Project report which should include executive summary, table of content,introduction or backgroud, main body conclusions & references on L&T metro rail project which is still in progress in india.
i need turnitin plagiarism receipt for my work also."	5
academic writing	a broad  research	4
Write a Report 	"The research is about touch sensor based on nanomaterial. I want the research to be between 20 to 22 pages .  the research topic will be about:- 

Abstract
Introduction
Sensing strain with nanomaterials
Pressure, Force and touch sensing
Force sensor including: 
Capacitive Force Sensors
Piezoelectric Force Sensors
Pyroelectric Force Sensors 
Other types of forces sensor
Nanomaterial in Touch Screens
Exploiting Nanoparticles for Sensing Applications
Conclusion
add one or two more topic from your self 

I want it within 5 days , if you finish earlier it will be great. I want the resources to be scientific. Provide me please the link of the resource. In case the resource is from book, provide me the link of the book. If you find useful information from the articles provided use them. 
"	5
Help me write a report for the current problem of Dundee Wellgate centrum	I need you to write an academic article. 4th year business management student. I need a report of my findings are recommendations for potential solutions and implementation strategies for the current problem (2000 words). The current problem is a bad image of the shopping centre in Dundee called Wellgate. The shoppping centre has a bad image coz of their cheap shops inside and just next door is Job Centrun. There is no budget for the solutions and we can implement any strategy we believe could work or other shopping centres done. It doesn't even have to stay the shopping centre it could be completely something else as long as there is a good justification for it.	5
Write some Articles	I want a business report of around 5000 words 	5
Write a Business Plan	I require a Business plan to be done for a online application that I have created, previous experience is a MUST. I will need you to provide bullet points of what you require from me to assist in the writing of this plan. If you can also send through a sample of previous business plans that you have written it would be appreciated. You will also need to advise on how this can be monetised (i.e banner advertising etc). I will provide further details to the successful freelancer. It needs to be completed by the end of the weekend. Thanks	2
Help me write something	"I need you to write a report for something. Report about phishing for example email phisihing 

What is phishing, 

How it is done,

Why does the phisher do it and what do he gets from it 

How to protect your self from it."	5
Help me write something	I need you to write an academic article. Literature review on black feminist thought. I already have the topic introduction and outline completed	5
Content Writing 	I need 1 essays done by 12th of Dec	5
Paraphrase reservoir engineering report	A freelancer with good background in petroleum reservoir and production engineering is required to paraphrase a reservoir production eng. report. SPE materials to be included as well.	5
Interior and exterior design (home improvement) and concrete delivery	Hello to you my future freelancer, I have two websites [url removed, login to view] and [url removed, login to view] and looking for a person who would be able to write 4 articles (2 for each website) monthly at least 2500 characters long each. I will be providing editorial calendar.	1
Marketing report: Netflix's Mobile app evaluation 	Netflix's Mobile app evaluation: Analyzing an organizational mobile app. How does the website fit with organizational overall strategy and marketing mix? How is the online experience? What are the challenges, benefits and risks of using website? What would be your recommendations to the organization?	5
Write a Report 	Summary (2-3 pages) of the IoT market in 2016 (e.g. categories, major players, investors, numbers) and high-level projection into 2017	4
I need you to write an academic article. -- 2	"I need you to write an 8-page empirical research proposal on Assets Pricing using a multi factor APT model. 

You must be familiar with assets pricing, CAPM, APT, EMH and empirical research."	5
Academic Writing 	"Write a 1000-word essay on the issue given below, including relevant diagrams and references. Your answers should be word processed and presented in a professional way. 

Compare and contrast 2 early numerical models for ocean circulations given below. by answering given questions
"	5
Write a Report 	I want you to paraphrase the report ....	5
Research Writing 	Academic writing , Critique , 	5
Find and re-word articles for the News section of our website	"I need a dozen or more articles to populate the news section of our website. It is for a UK based retail electronics distributor so will focus on this sector and the retail sector.

The articles are meant to provide a bit of knowledge, but they are also for information purposes such as highlighting events the company took part in and other electronics distribution/online marketplace industry related news.

I am willing to spend $100 on the whole bunch, so taking the price into account I will award the project to person who can provide the most and high quality pieces of articles.

We can start this off by finding a bunch of other relevant articles, then re-word it to make it relevant to our website and so it doesn’t get caught up as plagiarised content. 

Experiences writers only please.

Please message me so I can show you other examples which you can use to assist you. 
"	1
part of a business plan	hello im looking for someone to do a short part of a business plan. 	2
Risk Decision Analysis 672 A3	Problem Solution. Freelancer must know probability and risk analysis.	5
Write a Business Plan 	"1. Use different techniques to identify perceived quality gaps for a selected service/product 
2. Explain  how a customer relationship management system is used in a selected organisation.
"	5
discussion  - open to bidding	n Chapter 3 of Make it Stick, the authors claim that spacing, interleaving, and variability greatly increase learning and the performance that comes from applying that learning.  Have you had a learning experience that benefited from spacing, interleaving, or variability?  How much of a difference did it make?	4
Leaders are born, not made! Do you agree or disagree?	"Topic: Leadership

Leaders are born, not made! Do you agree or disagree?

The format should be in an essay of 900-1000 Words.

With normal introduction, body and conclusion as the structure. 
You are to research current views on leadership and support your argument for or against the above with a minimum of 5 peer-reviewed articles.
You may use as examples well known leaders to justify your views.

The Marking will be allocated as mentioned in the file attached to this project.

The project is to be done by the end of 29/03/2017."	5
Get Articles Written	DUE IN 6 HOURS! I need you to write a 1200-1500 word research article on a topic about Ancient Greece.	5
technical writing 	how data analytics is used in football 	5
report writing about how data analytics is used in the retail industries  	"Literature review of 1 pages about 
-	How data analytics is used in retail industries 
Literature review of 2 pages about below data mining techniques   
-	Association rule, clustering, time series analysis, random forest 
"	5
Research Writing	"I am looking for a freelance research writer to write around 1300-1500 words explaining the differences between the research methodologies. I have a budget of £60-£80. The deadline is 8 PM today UK time.
The document should be referenced with around 6-7 scholarly works, e.g. from Google Scholar. The more recent the better, but some older ones are fine.
It should explain the differences between quantitative research, qualitative and mixed method. E.g. which one is structured/unstructured, objective/subjective, deductive/inductive, which one is suited better for what, advantages/disadvantages, etc. Also opinions about mixed method (e.g. incompatible or best of both worlds).
Include links to all your referenced works in the ""Works Cited"" section; I've uploaded a document with two paragraphs started - use that to carry on. (The ""Works Cited"" section is not included in the word count.)
The final document will be tested with Turnitin UK (lasting a few minutes only) and when it passes, payment is released immediately."	5
case study	I am looking for a freelancer to help me with my project. The skills required for an EDEXCEL  Level 7 -Strategic Human Resources Management module Case Study  and Research Writing of max 2000 words purely based on a provided module  I am happy to pay a fixed priced and my budget is $ 100 - $ 200 USD. I will provide a detailed description and will upload  files once I am happy with a freelancer	5
Write a Business Plan	I am looking for a freelancer to help me with my project. The skill required is Business Plans. I am happy to pay a fixed priced and my budget is $50 USD. I have not provided a detailed description and have not uploaded any files.	3
Write some Articles 	Need about 50 articles to be written on health.	2
Write a Report 12	"i want you to take a look at the file link I want it to get rewritten in simple English


[login to view URL]!234&H=emul&C=5_810_BN1-SKY-WAC-WSHI&ui=AR-SA&rs=en-US&wdo=2&wde=doc&wdp=3&su=3187696117662692401&ad=en-US&sc=host%3d&cy=canary&ak=t%3D0%26s%3D0%26v%3D%21AC7lMYPysl2sV0M%26aid%3D5b48ce17%2D23cf%2D43e4%2D9ef0%2Dd72dda6b192e%26m%3Dar%2D145&wdMobileHost=2"	4
Editing my work	I need some help editing some work I have done. I need for it to be expanded and for someone to look through it and add references etc. 	5
Academic essay project-Write an empirical Report 	"""Conduct a thematic analysis of an audio clip of an interview held in the Oral History of British Science archive of the British Library. Then, write an empirical report of three themes you have identified in your analysis of the interview"".
(Word limit: 1500 words (excluding title, abstract, references and appendices)


This is an academic project. please only bid if you are familiar with how to write empirical reports and thematic analysis. If you are familiar of academic essay writing, this project will suit you. I can provide all the information and and relevant material for this report. Looking for a freelancer that is also interested in long term academic writing projects. Must be affordable. Only affordable bids will be considered."	5
I would like to hire a Content Writer	I need you to write some content for a website. I need to do some content writing for a Blog/Website. Less that 400 words long. The texts should be a compelling description of what you can expect when enjoying a bike tour in Amsterdam. The content should be written in a playful and yet trusting way.	1
Health Promoting Podiatry	Health Promoting Podiatry,Nursing and Healthcare assistance 	3
$30 - $250 USD	"To write a review/summary/your understanding of the 3  different [login to view URL] of the given videos and writing the report based on the cognitive ability

Weblink of the videos:

1) [login to view URL]

2) [login to view URL]

3) [login to view URL]


Font size: 12 for text, and 14 for headings
Font type: Times New Roman/Calibri"	5
Read a textbook chapter and write a 250 word reflection (US ENG) 12- 24hr deadline	Read a textbook chapter and write a 250 word reflection (US ENG) 12- 24hr deadline.  More details via private message. 	5
Write my Product Descriptions 	im looking for a writer to write my app description for me. please make sure you are excellent in english and in product description. id like it ready in 1 hour. thank you	2
Write Me 10 Short Articles (150+ Words Each)-003	"I want to hire someone to write 10 short articles. I need at least 5 articles within next 12 hours.
•	Each article must be over 150 words
•	Must be specific to the US cities
•	Must be unique and include keywords
I’ll provide you with few examples of what kind of work I'm looking for. Please start your proposal with the code word “uscities” and let me know your price for 10 articles so that I know you’ve read the project descriptions.
"	2
Case Study	"Tourism Related
Case Study
- Crisis that affected the tourism industry in that country
- Measures taken by the NTO

"	5
Write articles -- 38895	"Hi,
I am looking for 500 words of contents written in next 1-2 hrs starting right now. The content must be written in perfect English. All work must be original and copyscape passed. Please quote your price in pmb. Ongoing work available upon completion."	2
Research Writing 	Need to write a briefing paper on a given topic. The topic is technical and specific to challenges faced by IT professionals.Minimum requirement is 1500 words	5
PPT material manufacturing! “ Grinding process “	I need you to write a Material and manufacturing subject topics “ Grinding process “ . #Mechanical Eengineering	5
small project one question	small eassy around 200 word , school level	5
small project one question 1	300 to 400 word , united state against north korea	5
I need an article about e-cigratte	I want to a writer to write an article about Vapeman STEAM ENGINE DNA75 Box Mod( It is an e-cigarette product. In addition, the write should know information concerning e-cigratte very well. this website offers some information about above [url removed, login to view]://[url removed, login to view]	1
Re-Phrasing of a technical engineering paper.	"I want an experienced writer to reduce the similarity report percentage of my upcoming paper which I have used some of my previous results with extended discussion and results too. 

The paper draft is attached in which needs further work and results to be added later. However, I need someone to work on the textual elements of it at the moment to finalise it later. 

The similarity report of the paper is attached and once the project awarded I will send you the word docx format of it. 

Experienced writers with knowledge in the field are highly preferred. 

Due date of the paper is 2 days from now. 

"	5
The UAE forieng policy	"In the introduction, I need a brief about how foriegn policy in general is formulated in the world, then the main argument will be: this paper will focus on how UAE economy in particular help formulaing the foriegn policy of UAE

Body1: explain in details about the UAE economy(internally) how it started shifting  from oil based economy to diverstificatin (clean energy/foriegn direct invesments/services/tourism/etc)

Body2: explain in details UAE economy (externally) for example how UAE is part of international economic organization as WTO , the economic ties with the Eastern countries/west in terms of economy.

Body 3: analyticcal discussion-
Discuss in analytical way how economy of UAE affect the forign policy formulation of UAE

Body4: conclusion- summary of the paper refering to the main argument

Reference
"	5
i need an essay writer	need someone to write my 1500 essay	5
Edit our company profile	Edit our company profile	1
Products description writer	I need a highly skilled products description writer 	1
Copywriting	Entry submission for red dot design. 6 products with copy points. 1200 characters max for each product	5
REGION article summaries	For the open access journal REGION ([login to view URL]) I need a writer who turns selected articles into English language summaries that demonstrate the value of the research behind the article to the general public. These press releases will be posted on AlphaGalileo (via the account of ERSA, the European Regional Science Association). The budget selected is per article. If you can also manage to get your summaries into media, this will be highly appreciated and awarded extra.	2
Help me write something	Scrittura di alcuni articoli	2
Write 5 blog posts on Instagram	"Each blog should be 700+ words must have relevant photos. 
Topic - Instagram Feed,  Instagram Theme, Instagram Stories  .....

Need 5x seo optimized blog post."	1
Writing articles on insurance in the US	"Need to write 10 articles on insurance in the US on the following topics (headlines):
1) quote a car insurance
2) car insurance categories
3) car insurance estimate online, online services overview
4) business liability insurance
5) vehicle insurance agency, Top 20
6) small business insurance
7) general liability insurance
8) business loans, where and how to get
9) car insurance price quote, a review of prices and companies
10) life insurance quotes"	1
Writer for fashion & Kids blog	Need writer for my kids fashion blog, female writer only. Native English speaksr only. M10 posts for $150	1
the Rhetorical Analysis	it is a work about Rhetorical Analysis. 	4
Help me edit my Cv and cover letter	Hi ,I need a Experienced person help me to edit my Cv and a new cover letter. Thanks	1
Creative Writing	"Hello,

I need a creative writer to write a short essay, approximately 300 words to describe specific neighborhoods. There will be 6 total short essays.

Please use your own words, no plagiarism, and make it interesting for the reader.

Thank you for checking this project.
DennyPlease provide 2-3 samples of your writing"	1
Apartment Website SEO Content and Blogs	Looking for a weekly blogs with SEO focus on Renting Apartments in Edmonton, Alberta Canada	1
essay	write an essay 4000 -5000words	5
Paraphrase the Attached Document. 	I would like the document attached to be paraphrased and summarized in order to reduce the number of pages. 	5
Script Writing 	Mobile Application Video Presentation.	3
Write New SEO friendly website content 	"IMPORTANT: (PLEASE READ BEFORE YOU BID)

Industry: Trucking & Logistics. 
Location: Ottawa, Ontario, Canada.
Business Name: Saikley Transport Inc. 
# of web pages: 12 Pages ( home - about - services - ship - carrier - contact ). 
Writers Experience: Must be able to write SEO American/Canadian English with American/Canadian sentence structure. 
Total number of words: +/- 4000 words

Note: 
I am looking for a content writer who can create new content and paraphrase existing content for my business website. I have attached a site map identifying the various sections with the approximate number of written words that are required.  The writer must be able to do some minor research to understand the subject at hand. I will provide you with competitor websites which you can use as a reference. Also, you will be given access to our new website to understand the sitemap.

Please ask me questions if you don't understand the instructions below. 

Also attached, you will find content written by another freelancer who did not produce quality content. I ended up rejecting his work.

SEO Key Words: it doesn't matter what order you use.

Trucking Company Ottawa 
Logistics Company Ottawa 
Shipping Company Ottawa 
Freight Company Ottawa
Hauling equipment in Ottawa 
Trusted Trucking in Ottawa 
less than a truckload in Ottawa 
truckloads in Ottawa 

READ ALL ATTACHED INSTRUCTIONS"	1
Proof Reader	I have a 900 word essay written in WORD.  I need an United States English Proofer. I would like to have to returned in 48 hours.	5
professional resume needed 	I need a professional Resume for job applications. I have a rough draft outline. 	1
Concrete constituents and mix design -- 2 - 	"You are required to answer all questions:
1) In concrete production, compaction has to be done properly to ensure the
concrete has the potential to achieve its design strength and of good qualify of
concrete. Explain the purpose of compaction and discuss the effects to the
concrete if the compaction were not carried out properly.
(500 words)
2) The use of recycled materials and secondary aggregate in the UK is increasing as
the construction industry seeks to become more sustainable. Building materials
such as concrete are a key resource for building a sustainable society and the
industry have a responsibility to protect the climate and secure the resources for
the future.
Below are some of the recycled materials that has been widely used in the
industry and others have been widely researched. They are:
I.) Recycled aggregate (RA)

III.) Recycled concrete aggregate (RCA)
For each of the selected item, describe, analyse and critically evaluate how of these
recycled materials affect the performance of concrete in (include diagrams, graphs
and tables to illustrate your work):
a) Fresh properties (workability, segregation, cohesiveness)
1000 words in total (500 words for each of the recycled materials)
b) Hardened properties (strength, durability, etc)
1000 words in total (500 words for each of the recycled materials)

Word processed on one side of A4 paper with 1.5 spacing and Ariel font of 12
 Pages should be numbered
 Present your word count after answering each question"	5
Paraphrase, review and edit blog post	"Hi,
I need someone to review the draft article I wrote, paraphrase and edit making it more engaging and interesting. I will publish in a high traffic blog so it has to be much better. The deadline is tomorrow."	1
Write a short kids story	"I am looking for a writer who can create a short kids story for a project that I'm working on. 

Story Requirements:
- 1,200 Words (send me a synopsis of 100 words first) 
- Kids age 3-5 years
- Main character - girl named Sophia 
- Secondary character - a giraffe 
- Story needs to include playing Hide & Seek at a Birthday party 

Story needs to teach these values: 
- Be nice and respectful to your friends
- Don’t give up 

If interested in the project, please send me a sample of your writing. If I like your sample, I will ask for a 100-word synopsis. 

My budget is $150-$250. Once we agree on a final price, please do not ask me to pay you more. I can add on a tip if I'm really happy with the work but if you explicitly ask me for a tip, I will not add it on and my rating of your work will be lower. I'm just trying to be transparent.   
"	1
Write some articles about a debt collection agency	The project comprises writing 5 articles, 300-words each, about commercial and medical debt collections. The idea is to get prospectives learn about a debt collection agency we work with. The articles need to follow specific SEO criteria that we will release after selection (keyphrases, location, and number of appearances). The articles must pass Copyscape and Grammarly tests. Native English speakers - and particularly US-based writers -  will be given much consideration. 	1
Writer Wanted	Article (max. 1,800 words) about learning and development for a professional association's monthly magazine issue.	1
Website content 	Need to fill up the content of my new website. Looking for someone who knows how to write in innovative and chill style. This is for outsorcing company. 	1
Write 20 Articles 250 words each using 5 keywords	"I am looking someone to Write 20 Articles 250 words each using 5 keywords.
I can hire multiple freelancers.

Need it to be done asap 
"	1
Resume Review (Build)	I am a senior financial/credit analyst looking to revamp my resume	1
Cleaning company looking for a copywriter	I am looking for copywrite as i need to rewrite one page of the infomation.	1
Looking for a professional ghostwriter	"Hi,

I'm looking for a professional ghostwriter. You need to have a great idea about the following subjects:
1. Cryptocurrency 
2. Trading 
3. Technical Analysis 
4. Business 
5. Enterpuership 

This project is for 3 blog posts (with 750 words for each).

** Must Be NATIVE ENGLISH speaker
"	2
Edit and proof read document	Look for someone who is good at writing compelling marketing content. I have a drafted out 6 points on one-page flyer but need someone to do their magic and make it sounds compelling for people to use us when buying or selling a home. We will you to do a monthly blog on the real estate in Orlando, Florida.	1
Write article about cryptocurrency exchange	Write article about specified cryptocurrency exchange, with specified keywords,  7500 words at least	4
I need article reworded and rephrased	I have an article i need reword and rephrased. Around 1,400 words. This is a small funded project	2
Rewrite the paragraphs in computer fild	"I have a file in computer information system field and i nead to rewrite it  by another words and with the same meaning 
To do this task u must be an a computer information system field.... firstly u must rewrite one paragraph to see the quality of ur work"	4
Help me write something	"This a four paper to write about battery adadvancement. It should Include an abstract, background details, applications and a conclusion to your paper.
Paper should include 2-3 sources, and should thoroughly explain the topic and why it is important."	5
Paper Extract for telecom engineer.	I would like to have 4 page paper extract of attached paper.	5
I need a professional CV writer fix price for 92.58$	I need a professional CV like attached PDF 	1
Impact Assessment 	Impact Assessment proj in local environment.	4
Article Writers Needed: Business services, logistics, engineering topics	"We're looking for 6 writers to write regular 500 word blog posts on a variety of topics. Lots of work available (50+ articles per month)

Categories are: Business processes, marketing, logistics, manufacturing, engineering

These are blog posts for marketing purposes. The writing doesn't need to be particularly technical, but you must have the ability to conduct thorough research and write convincingly for the target audience. Looking for a concise writing style (no fluff/filler) and good communication. These are for UK companies, so you will need to use British spelling, grammar and research sources.

Budget is £15 per 500 word article

Please base your bid on your monthly availability in number of articles.

e.g. 10x articles p/m: £150
4x articles p/m: £60
20x articles p/m: £300

Thanks! I look forward to hearing from you

PROJECT GUIDELINES - PLEASE READ CAREFULLY
- NATIVE LEVEL FLUENT WRITTEN ENGLISH
- ORIGINAL WRITING ONLY: No plagiarism, copying or content spinning
- INDEPENDENT WRITERS ONLY: No agencies. No subcontracting
- NO NEGOTIATING ON FEES: The budget is set. Please don't bid if you can't work with it
- NO FAKE PROFILES: Please be open and transparent about your identity, skills, work history etc

We've had several negative experiences on this site. The project will be immediately cancelled and payment forfeit if you breach these guidelines. Thanks for your understanding.

"	1
managing IS strategy and security risk	I need you to write about managing IS strategy and security risk	5
English writer and re-writer	"Need a website content to create text content for tourism related subject matter and also:
a specific service website content writer and creator: from scratch.
You will create content 1. for 7 pages. 2. For 10. pages. Start from SERVICE website first."	1
Rewrite 350 Words	I have 350 words I need to pass copyscape. I have rewritten 3/4 of it but some of the phrases catch. Need perfect quality and fast turnaround.	5
Essay 500 words -- 3	I need you to write an essay/ 500 words.	5
need articles about user testing / ux design	"Please bid for 3 articles, each articles need to be illustrate with images free of right,  all article must be originals and we will own the rights.
Each articles must be between 400 and 600 words.
If you feel that an article can have more words than 600, let em know and i'll give you extra budget.
If you have subjects of articles, you can suggest them to me and i'll hire you to write them, so you can do more. But i already have my own list of subject."	1
Healthcare info	2000 words 	5
re-Write 3 x articles	"HI guys - I need to have 3 articles that are posted online 
read, and re-written
so that we have good quality content as a result - 
but not plageurised. 

Reading, re-writing in a different tone and voice etc. 

these are the articles 

Are Influencers Worth Your Money? We Went Undercover to Find Out.
[login to view URL]


Tim Ferriss, Gary Vaynerchuk and More Share What Will Make Businesses Successful in 2018
[login to view URL]

The Importance of Making Sure Customers Feel Heard
[login to view URL]

Could you please include examples of other research or writing you have done. 
thanks
Walt PLEASE MAKE SURE YOUR BID IS FINAL"	1
Project writing	I have to write a project. I have all the source from where it needs to be written (so a major headache is taken care of). Also, I have a sample ready how it needs to be written. You can either follow the sample or add something extra from the sources (that will be great). If you are interested in this let me know and we can discuss about this further.	4
create a 300 words blog	i want someone to write a 300 words blog with apa style reference	5
intrinsic value of bitcoin.	"is it possible to use traditional theories to find the intrinsic/fundamental value of Bitcoin? if not, why not? what are the other valuation tools if any?

 - use hots not lots (in ppt)
 - pls show me the ideas first"	5
Business report 	Research business report writing 	5
A Great Reference Letter	"HI everyone,

I would like to write a great reference letter for my staff, I need it in one day. Thanks 
Points :
- My Staff is a lady
- She never late
- Hard Working
- Willing to learn even she never did before
- This is her first job after graduation
- Nice and very Good EQ
- Good communication with customers
- Her main job duties is my asistant and help customer to solve problem on flower ordering
- We are a flower shop

Thank you all

"	1
help to correct the style for our company overview	"i need somebody that can help me to correct a text in a perfect english with a marketing style for our linkedin profile.

At Blockbliss, we believed that by the use of Blockchain technologies we can generate solutions that  transforms the organizations and individuals creating a world more open and agile.

we are a full-stack development team passionate about innovation and the success of our customers and partners.

Our process and methodologies are designed to increase the quality and speed of our solutions and the satisfaction of our customers.

Blockbliss bring your ideas to life.
"	1
Proofread, Copyedit, Content Edit my book	I would like to (self) publish my second poetry book and I need an experienced editor to help me out with editing, proofreading, copywriting, content writing my book. English is not my native language, however, the book is in English. The main themes of the book are cosmic objects, love, deep inner experiences.	1
Editing/proofreading of 1,540 words article + extension to 3,000 words	"Hi all,

We are looking for an english native proofreader/editor to improve an existing blog post related to Pets (see attached) and extend it from 1,540 words to 3,000+ words. To be clear here is what we are looking for:

- Fix syntax, punctuation and grammatical errors from existing content
- Write an additional 1,500 words of content, keeping a relevant tone and the existing topic of the article
- The article should pass CopyScape and other plagiarism tools
- No rushed delivery, up to 7 days is acceptable
- Best quality at a competitive price

This is a test project, we have 100+ articles to proofread and extend like this, so please bid competitively :)

Thanks!

Cedric"	1
I need content writer for china dinnerware brand blog	We're online seller of fine china dinnerware. We just have our official website built up where we have a brand blog. We're looking for experienced writer to write some interesting and valuable content for our blog which we can share to our official social media channels.	1
Blockchain Articles	"I need you to write 3 articles on Blockchain topics-

 ""If Block Chain and AI had a baby, what would it look like?"" 

I think this address 2 interesting challenges; 1. Businesses don't really know WHY they should get started on block chain when they already have such complex environments, and 2. Business don't know HOW to get started in AI (perhaps other than calling IBM and asking for Watson). So, what does the combination mean and does it offer a compelling reason for both? 

What is the value of a Private Blockchain within one organization? 

What are alme new and innovative ways of using Blockchain? 


2 pages for each question  "	3
Business Research and Comparative writing	"I need some help with my business. Seeking a highly skilled individual to assist with knowledge sharing and report writting of the cooperative - Mondragon from an ethics perspective (Normative theory). 

Evidence of experience is required. English as a first language need only apply. 
Approximately 2 hours work."	1
Proofreading- English USA	I need a professional who can do proofreading, US English, i prefer Amaerica. 	2
Resume Creator	I'm looking for someone to take my resume and turn it into a job magnet. I've included my old one here, if you think you can make it better please tell me why this one is wrong and how you can make it better.	1
I need a grant writer	I am the CEO of a nonprofit pregnancy center and need a grant written. needs to be submitted by 4/25/18.	1
Resume Writing	Need a resume writer who can review my resume and write in again to make it more effective in the Australian market. I think it needs a complete overhaul :-)	1
financial institutional	"artical
should cover the origination/history of the organization, its purpose/major lines of business, its exposure and role in the financial crisis of 2008, any changes that came as a result of the crisis and recent developments or disposition."	5
US native Proofreader wanter 238 words	"Hello need to check to grammar, spelling errors small page
adult niche
Payment 12$
thank you"	1
Business Ethics	I need a report about a known ethical issue and how did the company deal with it, who did it effect, and what do I think about it and how should they solve it. I need it to be from 1500 word to 2000 max, not more than 10 days until due date.	5
Help me write something -- 10	I need you to write a research article. Role of digital media in shaping Obama care . ( 2000 words )	5
write a professional business proposal - 29/04/2018 15:21 EDT	"a draft will be provided , you're expected to edit , add more content and organize the proposal. 
I need 2 versions of the same proposal (details will be shared privately)  

DON'T bid if you're going to do the bare minimum . i expect a professional proposal"	2
Blog Articles about CPM scheduling and claims analysis for construction.	I need you to write some articles about CPM scheduling and claims analysis for construction. No automatic generated contents. I need someone who have some knowlege in construction project management or project management in general. For example, have PMP or PMI-SP.	5
write article	blog articles in English. I will provide guidance, topics and highlights	2
Write a professional resume for a esl English Teacher	I need someone to help design and write me a very professional looking and sounding resume.	1
Resume editing to deliver a stand-out, professional CV	I am a professional marketer and need my CV bringing to life to showcase my experience, creativity and business development skills. It is too wordy and repetitive at present and needs editing.	1
Blog post for a retire overseas website	"Hi, 

I want someone to write blog post for our website to help generate traffic. The website is [login to view URL] and we run tours for people to retire in Asia.

There will be around 1 blog post per week between 300-600 words about a cost of living or retiring in asia project.

Cheers
Kishen"	1
editor copy writer	I have drafted an article that requires editing and perhaps some copy writing to make it better. Probably about half hour if that with your natural skills.	1
proofreading	I write articles that I would like to publish and need to make sure there are no typos and the grammar is correct.	1
Create a formal letter to state	I need to create a short letter to a past client to convince them to use by services again. This letter is being sent to the state attorney general, so it has to read correct and be accurate. I need help with proper language and presentation.	1
Write an SEO content article for our website - Must Visit Mayan Ruins near Cancun	"We are [login to view URL]

We are an up and coming vacation rental company focusing on Hawaii, Mexico, and the Caribbean. We are looking for writers with experience writing content for the travel & vacation industry. Through this (and other) mini-projects we would like to find writers to continue working with on a more permanent basis. So, if the content submitted to us is engaging, original, and well written, we may be interested in hiring you for larger content projects in the future.

For this mini-project we require an article written about Must Visit Mayan Ruins near Cancun. 

The article should be 1000+ words long.  And the article should be written in ""US English"".

The target audience for this article is:
30-65 year olds
Married
Annual income bracket $50,000+ USD 
In other words; avoid topics like ""hostels"", ""spring break"", ""backpacking vacations"", et cetera (things that would not interest these demographics).

Content should include information about:
- a good example of what we are looking for can be found here: [login to view URL]
- The top ruins to visit while in Cancun.  This can be a ""top 5"" or ""top 10"" list type article.
- Be descriptive!  Describe WHY each ruin is a must see; what they have to offer that other do not, why would someone go out of their way to tour these ruins, ect.
Please be SPECIFIC in your content; give lots of details and use lots of description.  Citing outside sources for the information would not hurt either (you do not need to create the links, we can do that if you are unsure how).  

Here is a list of the top 10 articles, as ranked on google, for the keyword phrase ""Cancun Mayan Ruins"", to assist your research:
1. [login to view URL]
2. [login to view URL]
3. [login to view URL]
4. [login to view URL]
5. [login to view URL]
6. [login to view URL]
7. [login to view URL]
8. [login to view URL]
9. [login to view URL]
10. [login to view URL]

Keywords to be included in the body of the text: Mayan ruins, Quintana Roo, Yucatan, Cancun, Playa Del Carmen, vacation rentals

More SEO keyword phrases to consider (not required, but having a few of these phrases would be nice!):  
ek balam, mayan ruins in mexico, archaeological site, main pyramid, ruins of tulum, chichen itza, day trip, hours from cancun, mayan cities, unesco world heritage site, ancient mayan city, nohoch mul, full day, el rey, el castillo, cancun hotel zone, xel ha, temple of the warriors, caribbean sea, guided tour

Please do not forget to add a ""conclusion"" on your content (a paragraph at the end of the content summing up what was discussed in the main body content)."	1
Resume Writing	Hello. I have a current resume (written well). But I need to update to fit a different line of work. Can you assist? I can send the the job posting that I am trying to get. My resume (currently) is written for a manager of technology. What I need is for business development.	1
Photography website content	"Hi everyone,
I'm looking for a professional writer to create about me and landing pages for my photography website.

- Must be native English writer.
- Excellent wording skills.
- Knowledge of photography.

Please take a look at the rules of that type of writing before you bid:
[login to view URL]
[login to view URL]

Thank you all."	1
Help me write something	Help write a rebuttal letter to imigration services department to explain the inconsistency during the interview due to language barrier and memory retention limit! I have  drafted a letter with the explanation but i need a professional writer to make this letter look formal and professional.	1
Proofreading & Improving game dialog and additional text	"Hello,
we are looking for a native english speaker who has experience in proofreading and improving game dialogs and additional game related text. Only for experienced proofreaders with video game experience.

The attached file show the whole amount of text."	1
Write Some Articles for Me	"I need some articles written for my [login to view URL] should be professional and encouraging with some author\'s opinion so readers will respond and leave comments. The articles should be about interesting ideas and be original content.

Please message me if you have any questions,"	1
Write Articles for perfume eCommerce Blog	I need someone who can publish between 4 articles monthly on a blog about perfumes, the articles should be rich of SEO, and need to be attractive articles and not clone..	1
Copywriting for website	"Hi,
I am looking for someone who could writ perfect English texts for my website. Can you help me? I guess it neet between 3000 - 4000 words."	1
I need a content writer	I have a small online bussines (shop) that promote handmade and organic clothes and accessories. Our suppliers are people who work as a designers and small manufacturers from all over the world. We dont promote products from China or big manufactures, but only from people who love to create quality products. 	1
Content Writing	"1000 words 
CSR 
Quality work 
ASAP"	5
